,Headline,Snippet,Lead paragraph,Source,Date
1129,Restricting Beach Access to Residents Only,"Fearing the spread of Covid-19, some cities in Connecticut and Long Island are trying to keep nonresidents off the sand, butting up against legal mandates that require them to maintain public access.","Connecticut and New York residents who don’t live along the coast are likely feeling the heat more than usual this summer, as one town after another has closed off its beaches to everyone except locals.",The New York Times,2020-08-06 10:00:08+00:00
1130,Leaving New York: How to Choose the Right Suburb,"Set your priorities — walkable town, easy commute, good schools, waterfront access or something else? Then start exploring.","For some New Yorkers, urban life is a phase, to be experienced between college and the birth of a first or second child. The question of moving to the suburbs is not “whether,” so much as “when.”",The New York Times,2020-08-07 09:00:25+00:00
1131,"For P.O.W., Landmark Verdict Against North Korea Is Long-Overdue Justice","A former South Korean soldier may never see a penny of the $17,600 awarded by a court last month. But the verdict set a precedent for thousands of others seeking to hold the North and Kim Jong-un accountable for human rights violations.","PYEONGTAEK, South Korea — He was only 17 when Chinese troops backing North Korea overran a hill being defended by his South Korean Army squad and took him prisoner in the early hours of Dec. 28, 1951.",The New York Times,2020-08-07 09:07:16+00:00
1132,Getting Your Home Ready for Your Pandemic Puppy,You don’t have to give up on design just because the dog will probably chew everything in sight.,"Nicole Crystal’s house in Oradell, N.J., wasn’t always a fun house for her Goldendoodle. Before she bought Bowie three years ago, she regularly polished the vintage pine floors of her 19th-century home, had a cozy reading nook in a corner of the living room, and covered her white sofa with colorful throw pillows.",The New York Times,2020-08-07 13:00:16+00:00
1133,Millions of Evictions Are a Sharper Threat as Government Support Ends,"Without more federal aid for workers, experts are expecting the largest disruption to the housing market since the Depression.","For the 108 million people who live in a rental home or apartment, Aug. 1 was a grim milestone. It marked the first time rent was due after much of the nation’s economic response to the coronavirus had expired.",The New York Times,2020-08-07 22:17:45+00:00
1134,They Were Arrested During the Protests. Here’s What Happened Next.,Five New Yorkers describe the night they were arrested while participating in Black Lives Matter demonstrations.,"Anthony Mendez recalled how he had been held in a crowded cell for six hours after he was arrested during a protest, the first time that he had ever gone to a march. Clare Ramirez-Raftree said she ended up with welts on her wrists for days from the tight plastic handcuffs. And Patrick McElravey said police officers put him in a chokehold in Brooklyn.",The New York Times,2020-08-07 09:00:24+00:00
1135,The Universal Loneliness of Powfu,"On his major label debut EP, the 21-year-old musician from Vancouver follows in the footsteps of lovelorn emo singers and rappers.","Want to learn about pop music? Pay more attention to the songs that bubble up to the masses, like gases desperately seeking escape, than to marquee artists’ event releases.",The New York Times,2020-08-05 21:00:27+00:00
1136,What’s on TV Thursday: ‘An American Pickle’ and ‘Shawshank Redemption’,A generational comedy starring Seth Rogen makes its debut. And a classic Stephen King story airs on Starz.,"AN AMERICAN PICKLE (2020) Stream on HBO. In 1919, Herschel Greenbaum (Seth Rogen) and his wife, Sarah (Sarah Snook), emigrated from their fictional Eastern European home country — a place called Schlupsk — to New York City, where they dreamed of building a better life for generations of Greenbaums to come. But one fateful day, Herschel fell into a vat of brine at a pickle factory, where he worked. When Herschel emerged from the pickle vat, perfectly preserved 100 years later, he found there was only one Greenbaum left: his great-grandson, Ben (also Rogen). With Ben, Herschel becomes determined to refine the Greenbaum legacy once more. The film’s screenplay is written by Simon Rich and is adapted from his 2013 novella, “Sell Out.”",The New York Times,2020-08-06 05:00:10+00:00
1137,"As Smoke Clears in Beirut, Shock Turns to Anger","As residents picked up the pieces, many saw the explosion as the culmination of years of mismanagement and neglect by Lebanon’s political leaders.","BEIRUT, Lebanon — Since an orphaned shipment of highly explosive chemicals arrived at the port of Beirut in 2013, Lebanese officials treated it the way they have dealt with the country’s lack of electricity, poisonous tap water and overflowing garbage: by bickering and hoping the problem might solve itself.",The New York Times,2020-08-05 23:21:50+00:00
1138,What Parents Leave Behind When They Die,Jill McCorkle’s “Hieroglyphics” examines the end of life through the stories of an aging couple and a tragic murder trial.,HIEROGLYPHICS By Jill McCorkle,The New York Times,2020-08-05 09:00:05+00:00
1139,"Kathleen Duey, a Mentoring Children’s Book Author, Dies at 69","A prolific writer, she published more than 75 books, including a Best Seller and a National Book Award finalist, all while encouraging aspiring authors.","In 2013, Kim Zarins was looking for authors to teach a workshop on writing fantasy for children and teens, part of a California State University summer arts program she was organizing. “I had two qualifications,” Ms. Zarins, a professor of English at Cal State, Sacramento, recalled in a phone interview. “You had to be an excellent writer and a generous teacher.”",The New York Times,2020-08-05 21:03:01+00:00
1140,So What Does Trump Have Against TikTok?,"His foolish and dangerous edicts suggest that the United States, like China, no longer believes in a global internet.","The one thing my students all invariably know about China is that you can’t use Facebook there, or YouTube or Google. For at least a decade, China has maintained strict control over the internet and aggressively blocked foreign tech platforms within its borders.",The New York Times,2020-08-07 09:00:14+00:00
1141,A Different View of a Jamaican Dancehall,"On the verge of his first major exhibition, Akeem Smith shares a new artwork.","In each installment of The Artists, T highlights a recent or little-shown work by a Black artist, along with a few words from that artist putting the work into context. This week, we’re looking at a video by Akeem Smith, which will be part of his show “No Gyal Can Test” at Red Bull Arts in New York in late September. Smith’s work often takes inspiration from his experience working with his family’s fashion house, the Ouch Collective, and from the Jamaican dancehall community.",The New York Times,2020-08-07 21:11:14+00:00
1142,Facebook Removes Trump Campaign’s Misleading Coronavirus Video,"It was the first time Facebook took down a post by Mr. Trump’s campaign for spreading virus misinformation, but it did not signal a change to the company’s defense of free expression.","WASHINGTON — Facebook took down a video posted by the campaign of President Trump on Wednesday in which he claimed children were immune to the coronavirus, a violation of the social network’s rules against misinformation around the virus.",The New York Times,2020-08-05 23:59:42+00:00
1143,Lawmakers Aim to Prevent Trump From Bypassing Ban on Armed Drone Sales,"Senators from both parties say President Trump cannot be allowed to help drone technology proliferate, and they want it to be kept away from Saudi Arabia in particular.","WASHINGTON — A bill that Democratic and Republican senators introduced on Thursday would ban the sale of advanced armed drones to any nation that is not a close ally of the United States, according to lawmakers and congressional aides.",The New York Times,2020-08-06 12:00:08+00:00
1144,"Gods, Monsters and H.P. Lovecraft’s Uncanny Legacy","The author’s stories have influenced countless works, including the new HBO series “Lovecraft Country.” But how do modern adapters reckon with his racism, his sexism and his profound weirdness?","“Lovecraft Country,” premiering Aug. 16 on HBO, follows a Black family entangled in eldritch phenomena. Based on Matt Ruff’s 2016 novel, the series is a sideways look at the terrors of Jim Crow America that nods to and reframes the work of H.P. Lovecraft, the widely cited if narrowly read pulp fiction writer from the early 20th century.",The New York Times,2020-08-07 09:00:16+00:00
1145,When Disasters Overlap,"Also this week, how to help a neighbor when it’s hot",Welcome to the Climate Fwd: newsletter. The New York Times climate team emails readers once a week with stories and insights about climate change. Sign up here to get it in your inbox. ,The New York Times,2020-08-05 16:15:04+00:00
1146,Dozens Charged in Hong Kong for Taking Part in Tiananmen Protest,The charges against 24 people for attending an annual vigil are the latest signs of an intensifying crackdown on the pro-democracy movement.,"Two dozen democracy advocates in Hong Kong were charged on Thursday with taking part in an annual vigil honoring the victims of the 1989 Tiananmen Square protests, the latest sign of the aggressive clampdown on dissent in the semiautonomous Chinese territory.",The New York Times,2020-08-06 14:54:40+00:00
1147,Fly Casting on City Streets Is Weird. That’s Why I Love It.,I’m desperate to find pockets of joy wherever I can. Some people bake bread. I started street-casting on West 12th.,"I live in New York City, in downtown Manhattan, on the seventh floor of a 13-story apartment building. Two or three times a week, I wake up early, ride the elevator down to my lobby and say good morning to my doorman, in the custom of millions of city dwellers everywhere.",The New York Times,2020-08-05 09:00:05+00:00
1148,Red Cross Cancels Guantánamo Visit Over Coronavirus Cases,The pandemic has forced the longest absence of the humanitarian organization from the remote military prison in Cuba since it opened in January 2002.,This article was produced in partnership with the Pulitzer Center on Crisis Reporting.,The New York Times,2020-08-07 23:00:44+00:00
1149,Anger Rises After Beirut Blast and Evidence Officials Knew of Risks,"The chemical cache that apparently exploded was not supposed to be in Lebanon, but arrived there on a troubled freighter. Now, Beirut residents are digging out of the devastation, looking for survivors, victims and answers.",Rescue workers still struggling to treat thousands of people wounded in an enormous explosion that rocked Beirut turned their attention on Wednesday morning to the desperate search for survivors.,The New York Times,2020-08-05 04:01:23+00:00
1150,"Brent Carver, Versatile Tony-Winning Actor, Dies at 68","He played Hamlet, the wizard Gandalf and Tevye in “Fiddler on the Roof.” But he was probably best known for “Kiss of the Spider Woman.”","Brent Carver, a sensitive, soft-spoken yet nakedly emotional Canadian actor and singer who won a Tony Award for his starring role in the 1993 musical “Kiss of the Spider Woman,” died on Tuesday at his home in Cranbrook, British Columbia. He was 68.",The New York Times,2020-08-07 22:21:56+00:00
1151,The Day That Shook Beirut,Our reporter in the Lebanese capital was injured in the huge blast. This is what happened to her when “everything seemed to come apart.”,Listen and subscribe to our podcast from your mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher,The New York Times,2020-08-06 10:00:07+00:00
1152,Lost Teenager Found After Spending 9 Days in Washington State Forest,"After Gia Fuda, 18, ran out of gas in rural Washington, a search for her lasted more than a week in rugged mountains.","Early on July 24, Giovanna Fuda left her home in Maple Valley, Wash., and went for a drive. She ended up about 90 miles northeast of her hometown, in a cellphone dead zone, where her car ran out of gas.",The New York Times,2020-08-05 01:32:20+00:00
1153,How Accurate Are Virus Tests? Ohio Governor’s Results Show Positives and Negatives,"With testing delays nationwide, experts are increasingly recommending a new type of rapid test that gives less accurate results. It is imperfect, but as one expert put it, “pretty good is a lot better than none.”","Gov. Mike DeWine of Ohio received a negative coronavirus test result on Thursday, hours after a positive test result had stopped him from meeting with President Trump in Cleveland. The contradictory results during a high-profile moment underscored the challenges of testing, an issue that has repeatedly stymied the virus response in the United States.",The New York Times,2020-08-07 16:25:53+00:00
1154,"What Is Ammonium Nitrate, Blamed in the Beirut Explosion?","In ordinary circumstances, ammonium nitrate is fertilizer. But when placed under stress of heat and pressure, it acts like a bomb.",John Ismay was a bomb disposal officer in the U.S. Navy before he became a reporter for The Times Magazine’s At War section. Here is the information he has gathered about the explosion in Beirut.,The New York Times,2020-08-05 22:23:01+00:00
1155,Welcome Back to Germany. Now Take Your Free Virus Test.,"The country’s capacity to make testing efficient, affordable and available has distinguished it. Now, to head off a potential second wave, it’s testing anyone returning from a “hot zone” on entry.","BERLIN — When she returned to Germany last week from a vacation in Serbia, one of the first things Snjezana Kirstein did was to stop at a pop-up coronavirus testing center at Berlin’s Tegel Aiport.",The New York Times,2020-08-05 14:05:23+00:00
1156,"Overlooked No More: Jovita Idár, Who Promoted Rights of Mexican-Americans and Women","As a teacher, writer, editor and activist, Idár preserved Mexican culture in South Texas and encouraged women to pursue an education and push for equal rights.","This article is part of Overlooked, a series of obituaries about remarkable people whose deaths, beginning in 1851, went unreported in The Times. This latest installment is one of many ways The New York Times is examining the centennial of the 19th Amendment.",The New York Times,2020-08-07 21:08:34+00:00
1157,"At the Census Bureau, a Technical Memo Raises Alarms Over Politics",A directive orders experts to find ways to tally undocumented residents. Some fear the end result will be a skewed allotment of seats in the House of Representatives.,WASHINGTON — A Census Bureau memorandum on creating a state-by-state estimate of people illegally in the country is raising new fears of a politicized census — this time involving the population totals that will be used to reapportion the House of Representatives next year.,The New York Times,2020-08-06 22:03:05+00:00
1158,Stream These 12 Movies Before They Leave Netflix This Month,"“Groundhog Day” for when every day feels the same, “Candyman” for when they feel like a nightmare: Watch them while you can in August.","This month’s exiting Netflix titles are rather comfort-food heavy: early entries in venerable franchises, classic romances and comedies, and endlessly re-watchable ’80s faves. Or is it just that everything feels like comfort food these days? (Dates indicate the final day a title is available.)",The New York Times,2020-08-05 18:42:16+00:00
1159,"I’m a Conservative Christian Environmentalist. No, That’s Not an Oxymoron.",The G.O.P. may have had a politically expedient change of heart. Better late than never.,"It’s been a long time coming, but some Republicans seem to have finally gotten serious about climate change. In June, a handful of senators rolled out a bipartisan climate change bill. It is co-sponsored by Debbie Stabenow, Democrat of Michigan, and Lindsey Graham, Republican of South Carolina.",The New York Times,2020-08-07 09:00:17+00:00
1160,"Jobs, School Reopenings, Summer Desserts: Your Friday Evening Briefing",Here’s what you need to know at the end of the day.,(Want to get this briefing by email? Here’s the sign-up.) ,The New York Times,2020-08-07 22:26:21+00:00
1161,When the Bronx Was a Forest: Stroll Through the Centuries,"Yankee Stadium was the site of a salt marsh. Concourse Plaza was a valley. Our critic walks with Eric W. Sanderson, a conservation ecologist.","With more residents than Dallas, more than Atlanta and San Francisco combined, the Bronx is a vast, vibrant megalopolis, which also happens to be New York City’s greenest borough. It’s home to the largest urban zoological garden in America, a park system nearly 10 times the size of Manhattan’s Central Park — and the city’s last remaining patch of old growth forest.",The New York Times,2020-08-05 09:02:11+00:00
1162,‘Work It’ Review: Freestyling Through Senior Year,A straight-A high student scrambles to become a hip-hop dancer for her college application in this Netflix dance movie that pays homage to the genre.,"In the middling dance movie “Work It,” now on Netflix, Quinn (Sabrina Carpenter) is a straight-A senior desperate to attend her dream university, Duke. So desperate, in fact, that when her college interviewer expresses an appreciation for dance, Quinn pretends it’s her passion, too. To keep up the ruse, she cobbles together a ragtag hip-hop troupe and starts to train. She’s a quick learner; how hard can it be to keep a rhythm?",The New York Times,2020-08-07 07:00:07+00:00
1163,How to Volunteer or Donate to Help Others This School Year,"Many students and their families are struggling. Here are some ideas to help your neighbors, your schools and your community.","If you have already figured out how your family’s work and school situation might look this fall, remember other families might not be as secure. All parents want to stay or get healthy, give their children the best shot at an enriching school year and support themselves and their partners as they balance work and child-rearing — but this is an unprecedented, uncertain year. Millions of people are facing job loss, food insecurity, health problems and other worries in this ever-changing period.",The New York Times,2020-08-07 23:59:09+00:00
1164,Four Art Gallery Shows to See Right Now,Galleries and museums are getting creative about presenting work online during the pandemic. Some are open for in-person visits. Here are shows worth viewing either way.,"Over the past two or three years, Warren Isensee’s abstract paintings, while always good, have taken a sharp turn for the better. For nearly a decade Mr. Isensee, who has been exhibiting since 1998, cultivated a distinctive geometry of parallel lines whose softened edges and pulsing color contrasts conjured the tubular glow of neon, compartmentalizing them into squares and rectangles with black outlines.",The New York Times,2020-08-05 15:25:07+00:00
1165,What Worried Artists in Lockdown? The Same Things as Everyone Else,"A major European show of work made during coronavirus confinement deals with boredom, doubt and isolation.","BREGENZ, Austria — A tuba sitting on a rolling upholstered chair moves through a small room, to the sounds of a Shostakovich waltz. From the space’s perimeter, a man in a white shirt pulls and spins the improvised contraption across the floor with ropes, like a puppeteer or a dance partner. Why?",The New York Times,2020-08-05 12:29:25+00:00
1166,San Francisco Apologizes to Artist Over Maya Angelou Monument,"Acknowledging that it “caused significant harm” to select and then reject Lava Thomas to design the monument, officials voted to suspend the search for another design.","The decision to build a monument honoring the poet and civil rights activist Maya Angelou was supposed to jump-start San Francisco’s planned diversification of city sculptures; instead, an opaque selection process has opened new wounds between public officials and local artists.",The New York Times,2020-08-06 01:14:46+00:00
1167,White House and Congress Remain Far From Any Stimulus Deal,"White House officials and Democratic leaders continued to dig in on crucial points of any potential deal, jeopardizing additional relief for small businesses and laid-off workers.","WASHINGTON — Top Democrats and White House officials on Wednesday remained nowhere close to an agreement for a new rescue package to address the coronavirus’s toll on the economy, growing increasingly pessimistic that they could meet a self-imposed Friday deadline as President Trump again threatened to act on his own to provide relief.",The New York Times,2020-08-06 00:33:46+00:00
1168,Another Inspector General Resigns Amid Questions About Pompeo,"Stephen J. Akard became the State Department’s internal watchdog after his predecessor was fired by President Trump at the urging of Secretary of State Mike Pompeo, who has been under investigation.","WASHINGTON — The State Department’s acting watchdog has resigned from his post less than three months after replacing the previous inspector general, whom President Trump fired in May, the department said on Wednesday.",The New York Times,2020-08-05 16:26:45+00:00
1169,Don’t Fall for Trump’s Census Bait-and-Switch,Latinos should not let the president intimidate them into not being counted.,"Last month, President Trump ordered the Commerce Department to do what it legally could to exclude undocumented immigrants from the census count used to redraw congressional districts. Then on Monday, Commerce Secretary Wilbur Ross announced that the constitutionally mandated 2020 census would end a month early.",The New York Times,2020-08-06 09:00:12+00:00
1170,Jimmy Fallon Sends Thoughts and Prayers to the N.R.A.,"“That’s right, no more N.R.A., no more Confederate flags. This is turning into the worst year of Ted Nugent’s life,” the “Tonight Show” host said.","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Many of us are stuck at home at the moment, so here are the 50 best movies on Netflix right now.",The New York Times,2020-08-07 06:24:34+00:00
1171,"New Unemployment Claims Decline, but Remain ‘Alarmingly High’","Nearly 1.2 million filed for state benefits last week, the lowest total since March, as economic readings offer only limited encouragement.","The government reported on Thursday that nearly 1.2 million workers filed new claims for state unemployment benefits last week. It was the lowest weekly total since March, but signaled the continuing damage that the pandemic is inflicting on the labor market.",The New York Times,2020-08-06 20:28:09+00:00
1172,Are You a Working Mom? We Want To Hear Your Pandemic Story,The Times wants to know what your new normal looks like.,"It’s no secret being a working parent in the pandemic means doing multiple jobs at once. But for mothers, the burden may be crushing.",The New York Times,2020-08-07 20:40:06+00:00
1173,Five-Minute Coronavirus Stress Resets,How to get unstuck from your anxiety.,"In this emotional equivalent to an ultramarathon, it’s key to have some stress-reducing strategies available that work quickly and efficiently to help you hit the reset button.",The New York Times,2020-08-06 09:00:09+00:00
1174,How to Proactively Prepare for Distance Learning,This fall doesn’t have to be like the spring.,"Normally we rely on teachers and counselors or coaches and people in our communities to help us spot problems, then identify solutions. We try to build a village to not have to do everything alone.",The New York Times,2020-08-05 12:37:14+00:00
1175,Snap will make a major effort to register first-time voters.,,"Snap, the company behind the popular social media app Snapchat, is planning a major push to register first-time voters within its app and to guide them through the ballot process ahead of the election on November 3.",The New York Times,2020-08-06 14:03:01+00:00
1176,"Laid off, rehired, laid off again, and now without a weekly $600 boost.",,"After coronavirus-related lockdowns forced dining establishments in New York to close in March, Hannah Lane, 24, was laid off as a server in a popular Gramercy Park restaurant where she made about $60,000 a year.",The New York Times,2020-08-07 15:40:27+00:00
1177,"Takeoff, Member of Migos, Is Accused of Rape in Lawsuit","The civil complaint, filed in Los Angeles, accuses Takeoff, one of three members of the hip-hop group, of assaulting a woman during a house party in June.","Takeoff, a rapper who is part of the Atlanta trio Migos, has been accused of rape in a lawsuit filed Wednesday in Los Angeles by a woman who said she was assaulted at a house party in Encino, Calif., in late June.",The New York Times,2020-08-05 18:59:34+00:00
1178,Whatever Happened to Arda Turan?,"For months, Barcelona paid the finest player Turkey has ever produced not to play soccer. Why?","ISTANBUL — In the end, the question feels inappropriate. A little ridiculous, even. Arda Turan is sitting on the terrace of an impossibly lavish hotel, picking at a platter of fat grapes and sweet oranges and slices of fresh watermelon. The Bosporus shimmers a perfect blue. The sky is bright and glorious and it stretches all the way to Asia.",The New York Times,2020-08-06 15:45:06+00:00
1179,"Britain’s economy won’t fully recover till end of 2021, its central bankers said.",,"The Bank of England presented both a better and worse outlook for the British economy on Thursday. As the central bank left its monetary policy stance unchanged, policymakers said that they expected the British economy to contract by 9.5 percent this year, a less severe downturn than they indicated a few months ago, and the unemployment rate would peak at 7.5 percent at the end of the year.",The New York Times,2020-08-06 09:50:05+00:00
1180,Self-Publishing Is a Gamble. Why Is Donald Trump Jr. Doing It?,"His next book, “Liberal Privilege,” comes with an unusual distribution plan and no publishing house behind it, making it something of a curiosity in the industry.",There is a lot about Donald Trump Jr.’s second book that is unusual.,The New York Times,2020-08-06 09:00:27+00:00
1181,Experiencing War Far From the Battlefield,Two new books look at World War II from the perspectives of outsiders on the fringes of conflict.,"It has been a long time since I enjoyed a book as much as I did LOVE IN THE BLITZ (Harper/HarperCollins, 496 pp., $28.99). Of the hundreds of books about World War II that I’ve read, this is one of the best. I would welcome the author, Eileen Alexander, as a fresh new voice, but for the fact that she has been dead for nearly 50 years.",The New York Times,2020-08-06 17:00:04+00:00
1182,The Presidential Debates Debate,Does this forum make sense for evaluating the candidates? Readers weigh in.,To the Editor:,The New York Times,2020-08-07 18:06:27+00:00
1183,"‘Godspell’ in 2020: Masks, Partitions and a Contactless Crucifixion",The first professional musical staged in the United States since theater shut down is also a de facto public health experiment.,"PITTSFIELD, Mass. — And on the eighth day, Jesus wept.",The New York Times,2020-08-05 14:00:21+00:00
1184,"As U.N. Warns of Catastrophe, Lebanon’s Leaders Debate Cause of Blast",The United Nations warning came as President Michel Aoun said the investigation into the deadly explosion in Beirut would examine if “external interference” played a role.,"As rescue workers continued to comb the debris for survivors of the deadly explosion in the port of Beirut, and as the United Nations warned that Lebanon faced a humanitarian catastrophe, the nation’s leaders debated the possible cause of the blast but provided little new information.",The New York Times,2020-08-07 16:04:48+00:00
1185,"Debt, Debt, Goose",The face-off in the Senate over a pandemic relief package is tied to a yearslong back-and-forth over the relevance of deficits.,This article is part of the Debatable newsletter. You can sign up here to receive it on Tuesdays and Thursdays.,The New York Times,2020-08-06 22:35:48+00:00
1186,New York Attorney General Sues N.R.A. and Seeks Its Closure,"Letitia James seeks to dissolve the National Rifle Association, which was founded in New York, amid corruption allegations.","New York’s attorney general issued an existential challenge to the National Rifle Association on Thursday, arguing in a lawsuit that years of runaway corruption and misspending demanded the dissolution of the nation’s most powerful gun rights lobby.",The New York Times,2020-08-06 15:37:36+00:00
1187,"Between Reps at the Gym, a Strong Connection",Lauren Maillian and Robert Palmer met during a workout and soon found they shared a similar mind-set about life and love.,"When Lauren Maillian joined the New York Sports Club in Harlem, her intention was to work out. Robert Palmer had the same desire.",The New York Times,2020-08-07 10:00:09+00:00
1188,"In Poland, the Rainbow Flag Is Wrapped Up in a Broader Culture War","Three activists were arrested and charged after hanging banners on Warsaw monuments, while opposition lawmakers wore multicolor clothing and masks in a protest in Parliament.","When President Andrzej Duda of Poland was sworn in on Thursday for a second term in office after a bitterly divisive campaign in which he rallied support by targeting homosexuality as a threat to the nation, he looked out over the floor of Parliament to find a sea of color.",The New York Times,2020-08-06 14:53:03+00:00
1189,The Secret to Great Empanadas,"It’s popcorn, as J. Kenji López-Alt learned from the Colombian chef Carlos Gaviria.","Good morning. J. Kenji López-Alt has a fascinating article in The Times this week about a trip he took with his wife, Adri, to her native Colombia, and the empanadas (above) he learned to make there with the chef Carlos Gaviria. Kenji was left speechless, he wrote, by the secret ingredient used to make the dough: popcorn.",The New York Times,2020-08-05 14:30:00+00:00
1190,Afghan War Casualty Report: August 2020,At least 287 pro-government forces and 144 civilians have been killed in Afghanistan in August.,"At least 117 pro-government forces and 37 civilians were killed in Afghanistan during the past week, as peace talks continued to stall and Taliban forces waged targeted attacks on security forces. The deadliest attack took place in Baghlan Province, where the Taliban attacked Baghlan-e-Markazi District, killing four police officers and 12 pro-government militia members. Three outposts fell to the insurgents. Earlier in the week, in Balkh Province, new members of a military convoy were traveling to Dawlat Abad District from Mazar-e-Sharif when a roadside bomb exploded near a Humvee in the Yakhdan village of the district. Eight N.D.S. officers and two soldiers were killed, and two others were wounded. Days later, in the same province, a car full of explosives was detonated close to a commando unit in Balkh District, killing two commandos and eight civilians, while wounding an additional 20 commandos and 45 civilians. The explosion destroyed many nearby houses and the Taliban claimed responsibility for the attack.",The New York Times,2020-08-06 19:00:30+00:00
1191,"Millions face eviction as pandemic relief measures end, researchers warn.",,"After the recent lapse of a federal supplement to unemployment payments, and with a patchwork of eviction moratoriums either at an end or set to expire soon, 30 million to 40 million tenants risk losing their homes in the coming months, according to a report released Friday by dozens of academic researchers and housing advocates.",The New York Times,2020-08-07 10:01:14+00:00
1192,Wine Joins the 2020 Debate Over Privilege and Justice,"An accusation involving migrant labor in Puglia leads to self-examination and, perhaps, new awareness of the treatment of agricultural workers.","In this topsy-turvy year of the Covid-19 pandemic and a national uproar over politics and racial injustice, few things are immune from the widespread cultural re-evaluation.",The New York Times,2020-08-06 16:25:47+00:00
1193,New York’s Sidewalk Prophets Are Heirs of the Artisans of France’s Lascaux Caves,A critic’s tour deciphers the signs and symbols of the street art adorning boarded-up storefronts. What it tells us about our shared political realities and the ways our stories are connected.,"About 17,000 years ago, in the caves of Lascaux, France, ancestors drew on grotto walls, depicting equines, stags, bison, aurochs and felines. They wanted to convey to other humans a political reality crucial to their survival: They shared their environment with other beings that looked and behaved differently from them.",The New York Times,2020-08-06 09:00:37+00:00
1194,"Hit Hard by Recession, an Irish Family Faces a Bitter Struggle",Caoilinn Hughes’s novel “The Wild Laughter” considers the catastrophic effects of the fall of the Celtic Tiger.,THE WILD LAUGHTERBy Caoilinn Hughes,The New York Times,2020-08-05 09:00:06+00:00
1195,Use These 18 Images to Inspire Your Own Short Story,"We provide the visual ingredients to get you started. Your job is to create an original story from these characters, settings and conflicts.",Do you enjoy writing short stories or other works of fiction? How do you find inspiration for what you write?,The New York Times,2020-08-06 13:15:41+00:00
1196,"Trump Swings Against TikTok, WeChat",President Trump signed executive orders against two popular China-based apps. Let me try to explain.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,The New York Times,2020-08-07 17:39:04+00:00
1197,Why Joe Biden Keeps Missing His Own V.P. Deadlines,"On issues big and small, Joseph R. Biden Jr. will not be rushed, including the critical choice of a running mate. He’s deliberative, and he doesn’t mind extending his timetable — again and again.",Joseph R. Biden Jr.’s campaign staff is making plans to introduce his eventual vice-presidential choice to key party constituencies. Donors are readying finance events featuring the still-unnamed running mate — “date and time to be announced.” An in-person reveal is being discussed.,The New York Times,2020-08-07 15:18:02+00:00
1198,"Beirut Blasts, Coronavirus, #MeToo: Your Wednesday Briefing",Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),The New York Times,2020-08-05 04:31:29+00:00
1199,Coronavirus Silences the Wonder Wheel,A 100th anniversary celebration was planned for this star attraction on the Coney Island boardwalk this year. The owners are determined that it will spin again.,"Deno’s Wonder Wheel, a 15-story signature feature of the Coney Island skyline, first spun to life in the wake of the Spanish flu pandemic a century ago. Now, as the coronavirus casts a growing pall over the storied amusement district, the family that owns the wheel says that the whirling behemoth will almost certainly go the entire season without carrying passengers for the first time in a hundred summers.",The New York Times,2020-08-07 10:00:10+00:00
1200,He Predicted Trump’s Win in 2016. Now He’s Ready to Call 2020.,Most historians just study the past. But Allan Lichtman has successfully predicted the future.,"Right now, polls say Joe Biden has a healthy lead over President Trump. But we’ve been here before (cue 2016), and the polls were, frankly, wrong. One man, however, was not. The historian Allan Lichtman was the lonely forecaster who predicted Mr. Trump’s victory in 2016 — and also prophesied the president would be impeached. That’s two for two. But Professor Lichtman’s record goes much deeper. In 1980, he developed a presidential prediction model that retrospectively accounted for 120 years of U.S. election history. Over the past four decades, his system has accurately called presidential victors, from Ronald Reagan in ’84 to, well, Mr. Trump in 2016.",The New York Times,2020-08-05 09:00:08+00:00
1201,Coronavirus in N.Y.C.: Here’s What Happened This Week,The city is trying to figure out how to reopen schools. It's also trying to spread the message that some out-of-state visitors are required to quarantine. , [Want to get New York Today by email? Here’s the sign-up.],The New York Times,2020-08-07 09:36:12+00:00
1202,"Trump, Facing Headwinds in Ohio, Talks Up Economy in Campaign Swing","The president came into 2020 considering the state a lock, but his performance in managing the pandemic and delivering on his promises from four years ago could put it in play.","President Trump traveled Thursday to the crucial battleground of Ohio, hoping to highlight efforts to bolster the economy after the damage done by the spread of the coronavirus and to announce new executive orders to make drug prices more affordable.",The New York Times,2020-08-06 23:43:21+00:00
1203,Edmund White Thinks Most People Misread ‘Lolita’,“Nabokov’s job in the book is to make you like the monstrous Humbert Humbert. In the 1960s readers were too swinging to see how evil he was and now readers are too prudish to see how charming he can be.”,"“Nabokov’s job in the book is to make you like the monstrous Humbert Humbert,” says the novelist, whose new book is “A Saint From Texas”: “In the 1960s readers were too swinging to see how evil he was and now readers are too prudish to see how charming he can be.”",The New York Times,2020-08-06 19:27:51+00:00
1204,Trump’s Bank Was Subpoenaed by N.Y. Prosecutors in Criminal Inquiry,"The subpoena, sent to Deutsche Bank, suggests that the inquiry into President Trump’s business practices is more wide-ranging than previously known.","The New York prosecutors who are seeking President Trump’s tax records have also subpoenaed his longtime lender, a sign that their criminal investigation into Mr. Trump’s business practices is more wide-ranging than previously known.",The New York Times,2020-08-05 22:22:38+00:00
